id,title,author,location
1,The Road,Cormac McCarthy,Quahog
2,Les Misérables,Nathaniel Hawthorne,Springfield
3,The Importance of Being Earnest,Mary Shelley,Quahog
4,The Three Musketeers,Leo Tolstoy,Springfield
5,Bouvard and Pécuchet,Barbara Kingsolver,Hill Valley
6,The Man in the Iron Mask,J.R.R. Tolkien,Springfield
7,1984,Dante Alighieri,Quahog
8,The Catcher in the Rye,Victor Hugo,Quahog
9,The Call of the Wild,Charles Dickens,Springfield
10,Agnes Grey,Charlotte Brontë,Hill Valley
11,The Alchemist,John Steinbeck,Hill Valley
12,Daisy Miller,Victor Hugo,Springfield
13,Treasure Island,Albert Camus,Hill Valley
14,The Call of the Wild,Margaret Mitchell,Quahog
15,The Alchemist,Aldous Huxley,Quahog
16,The Count of Monte Cristo,Albert Camus,Springfield
17,A Tale of Two Cities,Alexandre Dumas,Hill Valley
18,Robinson Crusoe,F. Scott Fitzgerald,Quahog
19,Lord of the Flies,Miguel de Cervantes,Springfield
20,Les Enfants Terribles,Herman Melville,Quahog
21,Journey to the Center of the Earth,Aldous Huxley,Springfield
22,Neuromancer,Ursula K. Le Guin,Springfield
23,Don Quixote,Aldous Huxley,Springfield
24,To Kill a Mockingbird,Emily Brontë,Springfield
25,Blood Meridian,Frank Herbert,Springfield
26,Les Enfants Terribles,Robert Louis Stevenson,Quahog
27,Lord of the Flies,Paulo Coelho,Quahog
28,Wuthering Heights,Homer,Hill Valley
29,Blood Meridian,Louisa May Alcott,Quahog
30,The Man in the Iron Mask,Albert Camus,Hill Valley
31,The Divine Comedy,Homer,Springfield
32,Gone with the Wind,George Orwell,Springfield
33,To Kill a Mockingbird,Homer,Quahog
34,The Brothers Karamazov,Cormac McCarthy,Hill Valley
35,Madame Bovary,Frank Herbert,Hill Valley
36,The Picture of Dorian Gray,Mary Shelley,Springfield
37,Blood Meridian,Joseph Heller,Springfield
38,Twenty Thousand Leagues Under the Sea,William Golding,Quahog
39,To Kill a Mockingbird,Harper Lee,Quahog
40,Song of Solomon,Philip K. Dick,Springfield
41,The Count of Monte Cristo,Miguel de Cervantes,Springfield
42,The Masterpiece,Dante Alighieri,Springfield
43,Agnes Grey,George Orwell,Quahog
44,Northanger Abbey,Bram Stoker,Hill Valley
45,The Grapes of Wrath,Charles Dickens,Springfield
46,Do Androids Dream of Electric Sheep?,Jane Austen,Springfield
47,Around the World in 80 Days,Homer,Hill Valley
48,The Idiot,Barbara Kingsolver,Springfield
49,The Call of the Wild,Kurt Vonnegut,Quahog
50,Great Expectations,Harper Lee,Quahog
51,The Brothers Karamazov,Philip K. Dick,Hill Valley
52,A Scanner Darkly,Ursula K. Le Guin,Springfield
53,The Divine Comedy,William Golding,Quahog
54,The Professor,J.R.R. Tolkien,Quahog
55,Gone with the Wind,Gabriel García Márquez,Hill Valley
56,Lord of the Flies,John Steinbeck,Springfield
57,The Invisible Man,Herman Melville,Springfield
58,The Old Man and the Sea,George Orwell,Springfield
59,Fahrenheit 451,Homer,Quahog
60,Gone with the Wind,Aldous Huxley,Springfield
61,Les Misérables,Leo Tolstoy,Hill Valley
62,Robinson Crusoe,Herman Melville,Springfield
63,The War of the Worlds,Zora Neale Hurston,Hill Valley
64,The Grapes of Wrath,Stephen Crane,Hill Valley
65,The Hunchback of Notre-Dame,Robert Louis Stevenson,Springfield
66,Sense and Sensibility,Albert Camus,Hill Valley
67,Rebecca,Ernest Hemingway,Hill Valley
68,1984,Aldous Huxley,Hill Valley
69,Villette,Bram Stoker,Springfield
70,The Time Machine,Herman Melville,Springfield
71,White Fang,Cormac McCarthy,Hill Valley
72,The Great Gatsby,Charlotte Brontë,Springfield
73,The Picture of Dorian Gray,H.G. Wells,Hill Valley
